age,food_item,meal_category,review
64,Paneer Butter Masala,Dessert,and the taste lived up to expectations.
12,Cheese Dosa,Vegan,but I feel there are better options available.
42,Vegetable Soup,Seafood,I enjoyed it
42,Samosa,Dessert,but I expected more based on the reviews.
45,Cheese Stuffed Mushroom,Seafood,The dish was well-prepared and the flavors were spot on!
57,Chaat,Street Food,The dish was well-prepared and the flavors were spot on!
25,Pav Bhaji,Seafood,The portion size was generous
58,Chana Masala,Street Food,but it missed the mark.
38,Chicken Curry,Seafood,a satisfying meal that I would recommend.
52,Hakka Noodles,Cheesy,The presentation was impressive
14,Bhindi Masala,Snacks,The meal was satisfying
14,Chili Chicken,Chinese,The flavors were unique
42,Paneer Butter Masala,Healthy,I enjoyed it
37,Pani Puri,Chinese,The aroma was inviting
31,Kuchcha Aam Ki Barfi,Snacks,The texture was perfect
24,Vada Pav,Seafood,The service was excellent
39,Chicken Vindaloo,Cheesy,The food was decent
69,Crab Masala,Vegan,I enjoyed the freshness of the ingredients; it made a difference.
11,Vegetable Chow Mein,Vegan,I was not a fan of the seasoning; it felt a bit off.
41,Mutton Rogan Josh,Indian Curry,It was fine
50,Chili Chicken,Dessert,I enjoyed the freshness of the ingredients; it made a difference.
60,Spicy Prawn Curry,Spicy,but I expected more based on the reviews.
49,Malabar Fish Curry,Vegan,making it a memorable dish.
52,Rajma,Spicy,but the seasoning could improve.
42,Murukku,Cheesy,It was just alright; I wouldn't go out of my way to have it again.
29,Stuffed Bell Peppers,Chinese,It was quite disappointing; I expected a lot more flavor.
22,Fish Fry,Seafood,I appreciated the effort put into the dish
30,Vada Pav,Indian Curry,The dish was well-prepared and the flavors were spot on!
53,Bhel Puri,Chinese,The presentation was impressive
12,Fish Tikka,Chinese,The food was decent
52,Rabri,Spicy,making it a good value.
52,Goan Prawn Curry,Snacks,The meal was packed with flavor; I can't wait to have it again!
51,Spring Rolls,Healthy,I found it to be too oily for my liking.
65,Prawn Masala,Dessert,I found the meal to be quite average; nothing particularly stood out.
61,Cheese Naan,Dessert,but the food was just average.
65,Tandoori Fish,Snacks,The meal was packed with flavor; I can't wait to have it again!
57,Cheese Pav Bhaji,Chinese,It was quite disappointing; I expected a lot more flavor.
66,Grilled Paneer,Healthy,The dish was average; I expected more based on the hype.
39,Kachori,Spicy,The dish was well-prepared and the flavors were spot on!
61,Cheesy Garlic Bread,Seafood,The aroma was inviting
13,Aloo Tikki,Seafood,I was thrilled with how flavorful it was; a real treat!
65,Aloo Tikki,Healthy,but it missed the mark.
54,Vegetable Soup,Indian Curry,and I appreciated the creativity behind it.
57,Dhokla,Cheesy,and the taste did not disappoint.
16,Palak Chaat,Snacks,and the taste lived up to expectations.
62,Cheese Dosa,Seafood,but I feel there are better options available.
70,Pani Puri,Spicy,The meal was satisfying
58,Cheese Dosa,Cheesy,I was surprised by how bland the dish turned out to be.
20,Sev,Dessert,It was okay
25,Mac and Cheese,Vegan,I was not a fan of the seasoning; it felt a bit off.
20,Murukku,Indian Curry,I loved the combination of flavors; it was a delightful surprise.
64,Goan Prawn Curry,Healthy,but I wouldn't order it again.
24,Paneer Butter Masala,Chinese,and the taste did not disappoint.
38,Kuchcha Aam Ki Barfi,Snacks,I was surprised by how bland the dish turned out to be.
46,Dal Makhani,Vegan,I appreciated the effort put into the dish
60,Dim Sum,Seafood,The dish was well-prepared and the flavors were spot on!
17,Vada Pav,Spicy,The overall experience was pleasant
20,Stuffed Bell Peppers,Indian Curry,The meal was satisfying
39,Sweet and Sour Chicken,Vegan,The flavors were unique
11,Cheese Samosa,Chinese,The aroma was inviting
33,Sprouted Moong Salad,Healthy,but I feel there are better options available.
68,Kheer,Seafood,but it missed the mark.
41,Paneer Butter Masala,Seafood,I was left wanting more; it felt incomplete.
35,Dim Sum,Cheesy,and I appreciated the creativity behind it.
66,Gulab Jamun,Spicy,but I expected more based on the reviews.
45,Stuffed Bell Peppers,Chinese,I was not a fan of the seasoning; it felt a bit off.
60,Chicken Vindaloo,Street Food,but I expected more based on the reviews.
12,Aloo Tikki,Indian Curry,but I feel there are better options available.
44,Vegetable Chow Mein,Healthy,making it a memorable dish.
52,Bombil Fry,Indian Curry,It was fine
12,Vegetable Soup,Cheesy,The portion size was generous
19,Rabri,Chinese,a satisfying meal that I would recommend.
29,Cheesy Veggie Wrap,Snacks,making it a good value.
49,Vada Pav,Indian Curry,The portion size was generous
56,Fried Rice,Seafood,The meal was packed with flavor; I can't wait to have it again!
68,Prawn Biryani,Indian Curry,but I feel there are better options available.
27,Oats Upma,Cheesy,I found it to be too oily for my liking.
13,Bombil Fry,Spicy,I appreciated the effort put into the dish
44,Butter Chicken,Dessert,The presentation was impressive
36,Methi Paratha,Seafood,The meal was packed with flavor; I can't wait to have it again!
13,Dhokla,Street Food,The overall experience was pleasant
65,Goan Prawn Curry,Chinese,and the taste lived up to expectations.
33,Tandoori Chicken,Indian Curry,The consistency was a bit strange; not what I expected.
65,Zucchini Noodles,Healthy,The food was decent
56,Palak Paneer,Spicy,I was surprised by how bland the dish turned out to be.
21,Salad,Cheesy,but the food was just average.
37,Pav Bhaji,Dessert,The overall experience was pleasant
41,Cheese Samosa,Spicy,The portion size was generous
25,Chicken Curry,Spicy,but I expected more based on the reviews.
50,Chaat,Cheesy,but the food was just average.
10,Hot and Sour Soup,Vegan,I loved the combination of flavors; it was a delightful surprise.
31,Samosa,Dessert,I appreciated the effort put into the dish
35,Rabri,Seafood,I was surprised by how bland the dish turned out to be.
32,Bhindi Masala,Street Food,but I feel there are better options available.
41,Ghar Ka Khana,Dessert,and I appreciated the creativity behind it.
22,Mutton Rogan Josh,Cheesy,and the taste did not disappoint.
64,Rajma,Chinese,I enjoyed it
19,Kachori,Indian Curry,The flavors were unique
56,Pork Ribs,Indian Curry,I was thrilled with how flavorful it was; a real treat!
12,Grilled Paneer,Seafood,I was not a fan of the seasoning; it felt a bit off.
37,Kheer,Indian Curry,I was not a fan of the seasoning; it felt a bit off.
38,Cheese Dosa,Vegan,The meal had great potential but ultimately fell short.
35,Chana Masala,Chinese,The meal was packed with flavor; I can't wait to have it again!
12,Kuchcha Aam Ki Barfi,Indian Curry,Overall
13,Goan Prawn Curry,Cheesy,The meal was satisfying
18,Vada Pav,Chinese,I loved the combination of flavors; it was a delightful surprise.
69,Peda,Snacks,It was fine
51,Cheese Pav Bhaji,Vegan,though not memorable.
12,Ladoo,Street Food,but it missed the mark.
29,Zucchini Noodles,Spicy,It was okay
50,Tandoori Chicken,Snacks,but I feel there are better options available.
53,Rajma,Chinese,The portion size was generous
67,Rabri,Snacks,The consistency was a bit strange; not what I expected.
10,Peda,Dessert,though not memorable.
30,Aloo Tikki Chaat,Spicy,I found the meal to be quite average; nothing particularly stood out.
41,Rasgulla,Indian Curry,The texture was perfect
14,Gajar Halwa,Snacks,It was just alright; I wouldn't go out of my way to have it again.
56,Dhokla,Indian Curry,but I wouldn't order it again.
55,Mixed Vegetable Stir Fry,Cheesy,The food was decent
60,Dal Makhani,Street Food,The texture was perfect
14,Dim Sum,Snacks,The texture was perfect
56,Fish Tikka,Vegan,I loved the combination of flavors; it was a delightful surprise.
14,Hot and Sour Soup,Healthy,It was fine
40,Cheese Dosa,Indian Curry,The meal was packed with flavor; I can't wait to have it again!
63,Rasgulla,Spicy,and I appreciated the creativity behind it.
42,Vegetable Biryani,Snacks,The dish was well-prepared and the flavors were spot on!
37,Pork Ribs,Snacks,and every bite was a joy!
69,Mac and Cheese,Healthy,The food was decent
11,Fish Tikka,Spicy,and I appreciated the creativity behind it.
46,Chili Chicken,Seafood,It was just alright; I wouldn't go out of my way to have it again.
65,Butter Chicken,Snacks,The overall experience was pleasant
39,Fish Curry,Seafood,and I appreciated the creativity behind it.
36,Malabar Fish Curry,Seafood,I found the meal to be quite average; nothing particularly stood out.
26,Rasgulla,Cheesy,Overall
36,Chaat,Healthy,I was surprised by how bland the dish turned out to be.
12,Stuffed Bell Peppers,Seafood,I was thrilled with how flavorful it was; a real treat!
45,Jalebi,Seafood,I appreciated the effort put into the dish
10,Tikki,Vegan,and every bite was a joy!
60,Dal Makhani,Street Food,I loved the combination of flavors; it was a delightful surprise.
51,Cheesy Pasta,Snacks,making it a good value.
51,Spicy Szechuan Noodles,Street Food,and the taste did not disappoint.
49,Vegetable Chow Mein,Healthy,Overall
57,Oats Upma,Seafood,and the taste lived up to expectations.
49,Tandoori Fish,Seafood,I found the meal to be quite average; nothing particularly stood out.
62,Kachori,Vegan,I found it to be too oily for my liking.
27,Hot and Sour Soup,Chinese,The dish was well-prepared and the flavors were spot on!
32,Bhindi Masala,Healthy,but the food was just average.
28,Samosa,Vegan,It was quite disappointing; I expected a lot more flavor.
46,Barfi,Spicy,but it missed the mark.
28,Kung Pao Chicken,Cheesy,Absolutely loved the spices used; it was a delightful experience!
56,Aloo Tikki,Street Food,I found the meal to be quite average; nothing particularly stood out.
15,Vegetable Soup,Cheesy,but I wouldn't order it again.
65,Cheese Samosa,Indian Curry,making it a good value.
69,Prawn Masala,Spicy,I enjoyed it
44,Pakoras,Cheesy,The meal was satisfying
60,Murukku,Spicy,It was fine
48,Fish Curry,Seafood,I found it to be too oily for my liking.
27,Chili Chicken,Cheesy,The portion size was generous
57,Chaat,Spicy,The presentation was impressive
18,Dal Makhani,Dessert,I was not a fan of the seasoning; it felt a bit off.
68,Goan Prawn Curry,Indian Curry,The portion size was generous
56,Fish Curry,Healthy,The service was excellent
38,Paneer Tikka Masala,Indian Curry,It was quite disappointing; I expected a lot more flavor.
61,Methi Paratha,Street Food,Absolutely loved the spices used; it was a delightful experience!
44,Grilled Paneer,Dessert,It was quite disappointing; I expected a lot more flavor.
54,Dim Sum,Spicy,but I wouldn't order it again.
19,Prawn Masala,Dessert,It was just alright; I wouldn't go out of my way to have it again.
54,Cheese Pav Bhaji,Healthy,Overall
46,Methi Paratha,Dessert,but I expected more based on the reviews.
44,Fish Curry,Seafood,The portion size was generous
39,Tikki,Vegan,It was fine
47,Goan Prawn Curry,Indian Curry,I was thrilled with how flavorful it was; a real treat!
49,Palak Paneer,Seafood,and I appreciated the creativity behind it.
61,Aloo Tikki,Cheesy,The dish was average; I expected more based on the hype.
35,Mac and Cheese,Spicy,I enjoyed it
21,Kadai Paneer,Vegan,The presentation was impressive
49,Spring Rolls,Healthy,The consistency was a bit strange; not what I expected.
58,Pani Puri,Spicy,The texture was perfect
57,Chaat,Dessert,and I appreciated the creativity behind it.
18,Cheesy Pasta,Seafood,I found it to be too oily for my liking.
67,Kadai Paneer,Healthy,The dish was well-prepared and the flavors were spot on!
39,Sev Puri,Indian Curry,The flavors were unique
30,Ghar Ka Khana,Healthy,but I feel there are better options available.
29,Cheesy Pasta,Snacks,and the taste lived up to expectations.
50,Crab Masala,Cheesy,and every bite was a joy!
17,Malabar Fish Curry,Dessert,and every bite was a joy!
43,Sprouted Moong Salad,Snacks,The meal had great potential but ultimately fell short.
33,Chicken Curry,Healthy,The ingredients felt fresh
66,Chaat,Chinese,though not memorable.
39,Chili Chicken,Snacks,but I think it could use a bit more spice.
53,Crab Masala,Dessert,but I expected more based on the reviews.
20,Grilled Paneer,Spicy,I enjoyed it
66,Pork Ribs,Indian Curry,I loved the combination of flavors; it was a delightful surprise.
41,Paneer Tikka Masala,Snacks,It was quite disappointing; I expected a lot more flavor.
12,Tikki,Street Food,making it a good value.
17,Mixed Vegetable Stir Fry,Indian Curry,but I wouldn't order it again.
18,Stuffed Capsicum,Indian Curry,The food was decent
56,Sev,Dessert,I found the meal to be quite average; nothing particularly stood out.
54,Dal Tadka,Seafood,but the seasoning could improve.
26,Vegan Pulao,Street Food,Overall
47,Manchurian,Street Food,I loved the combination of flavors; it was a delightful surprise.
50,Spicy Szechuan Noodles,Snacks,but the food was just average.
34,Tikki,Snacks,I was left wanting more; it felt incomplete.
53,Stuffed Bell Peppers,Seafood,but the food was just average.
45,Chaat,Chinese,The ingredients felt fresh
12,Fish Curry,Indian Curry,making it a good value.
22,Bombil Fry,Snacks,The consistency was a bit strange; not what I expected.
47,Stuffed Bell Peppers,Spicy,Overall
17,Chana Masala,Vegan,making it a memorable dish.
40,Cheese Dosa,Cheesy,It was quite disappointing; I expected a lot more flavor.
60,Fish Curry,Healthy,It was just alright; I wouldn't go out of my way to have it again.
27,Cheese Pav Bhaji,Street Food,but I feel there are better options available.
16,Hakka Noodles,Vegan,though not memorable.
34,Sev Puri,Spicy,a satisfying meal that I would recommend.
52,Chili Chicken,Snacks,but the seasoning could improve.
51,Aloo Tikki Chaat,Seafood,The overall experience was pleasant
14,Tandoori Fish,Dessert,making it a good value.
65,Aloo Tikki Chaat,Snacks,I was left wanting more; it felt incomplete.
30,Fish Fry,Vegan,It was okay
46,Gajar Halwa,Chinese,making it a good value.
21,Spring Rolls,Chinese,I found the meal to be quite average; nothing particularly stood out.
35,Stuffed Capsicum,Spicy,It was fine
23,Dal Tadka,Chinese,The portion size was generous
61,Kadai Paneer,Vegan,The food was decent
17,Peda,Healthy,The flavors were unique
68,Aloo Gobi,Seafood,The food was decent
39,Tikki,Dessert,though not memorable.
46,Pakoras,Snacks,The portion size was generous
32,Samosa,Indian Curry,I was left wanting more; it felt incomplete.
68,Methi Paratha,Seafood,making it a memorable dish.
36,Goan Prawn Curry,Dessert,but I wouldn't order it again.
32,Spicy Szechuan Noodles,Cheesy,I appreciated the effort put into the dish
63,Cheesy Veggie Wrap,Vegan,The food was decent
17,Cheesy Garlic Bread,Dessert,The service was excellent
30,Stuffed Capsicum,Cheesy,Absolutely loved the spices used; it was a delightful experience!
14,Palak Paneer,Healthy,but I think it could use a bit more spice.
65,Spring Rolls,Street Food,The texture was perfect
45,Cheesy Veggie Wrap,Snacks,I was not a fan of the seasoning; it felt a bit off.
17,Barfi,Cheesy,The meal was satisfying
25,Dal Makhani,Indian Curry,I was surprised by how bland the dish turned out to be.
33,Stuffed Bell Peppers,Vegan,and every bite was a joy!
21,Chaat,Chinese,and the taste did not disappoint.
35,Chili Chicken,Street Food,The overall experience was pleasant
68,Oats Upma,Cheesy,but the seasoning could improve.
46,Dahi Puri,Vegan,I loved the combination of flavors; it was a delightful surprise.
55,Chana Masala,Dessert,I enjoyed it
60,Cheesy Pasta,Seafood,but I expected more based on the reviews.
43,Fish Curry,Healthy,I enjoyed it
35,Tandoori Cauliflower,Spicy,a satisfying meal that I would recommend.
37,Kadai Paneer,Cheesy,but I feel there are better options available.
64,Tikki,Dessert,but it missed the mark.
27,Pani Puri,Seafood,The meal was packed with flavor; I can't wait to have it again!
45,Cheesy Veggie Wrap,Indian Curry,The service was excellent
57,Vegetable Soup,Vegan,making it a good value.
12,Kadai Paneer,Healthy,making it a good value.
59,Kadai Paneer,Seafood,I was surprised by how bland the dish turned out to be.
54,Barfi,Spicy,Overall
65,Cheese Samosa,Healthy,I was left wanting more; it felt incomplete.
19,Fish Curry,Spicy,Overall
60,Spring Rolls,Dessert,Overall
58,Bhel Puri,Indian Curry,The meal had great potential but ultimately fell short.
15,Quinoa Pulao,Seafood,I found it to be too oily for my liking.
67,Zucchini Noodles,Vegan,It was just alright; I wouldn't go out of my way to have it again.
29,Bhindi Masala,Spicy,and the taste lived up to expectations.
26,Cheesy Garlic Bread,Indian Curry,I was not a fan of the seasoning; it felt a bit off.
44,Bhel Puri,Indian Curry,The portion size was generous
47,Prawn Masala,Snacks,The meal was packed with flavor; I can't wait to have it again!
56,Aloo Gobi,Indian Curry,The service was excellent
11,Paneer Butter Masala,Healthy,I enjoyed it
65,Sweet and Sour Chicken,Cheesy,It was quite disappointing; I expected a lot more flavor.
36,Palak Paneer,Vegan,The service was excellent
14,Spicy Szechuan Noodles,Indian Curry,and the taste lived up to expectations.
40,Spring Rolls,Indian Curry,It was okay
53,Bhel Puri,Dessert,The overall experience was pleasant
41,Vada Pav,Spicy,I loved the combination of flavors; it was a delightful surprise.
54,Stuffed Capsicum,Healthy,I was not a fan of the seasoning; it felt a bit off.
65,Samosa,Dessert,I was left wanting more; it felt incomplete.
70,Samosa,Cheesy,I found it to be too oily for my liking.
55,Quinoa Pulao,Spicy,but I think it could use a bit more spice.
16,Pork Ribs,Indian Curry,but it missed the mark.
67,Dal Tadka,Chinese,I enjoyed the freshness of the ingredients; it made a difference.
19,Sweet and Sour Chicken,Street Food,The aroma was inviting
70,Oats Upma,Spicy,The meal was satisfying
64,Sev,Chinese,It was quite disappointing; I expected a lot more flavor.
61,Paneer Butter Masala,Indian Curry,It was just alright; I wouldn't go out of my way to have it again.
17,Masala Dosa,Healthy,I was surprised by how bland the dish turned out to be.
70,Cheese Stuffed Mushroom,Cheesy,I found it to be too oily for my liking.
42,Jalebi,Cheesy,The meal had great potential but ultimately fell short.
24,Zucchini Noodles,Healthy,making it a memorable dish.
64,Cheese Naan,Snacks,The presentation was impressive
36,Kuchcha Aam Ki Barfi,Spicy,The overall experience was pleasant
30,Paneer Tikka,Seafood,and I appreciated the creativity behind it.
13,Pork Ribs,Vegan,and every bite was a joy!
42,Paneer Tikka Masala,Street Food,The texture was perfect
16,Prawn Masala,Dessert,and the taste lived up to expectations.
47,Butter Chicken,Chinese,making it a good value.
60,Cheesy Garlic Bread,Seafood,I enjoyed it
47,Vegan Pulao,Dessert,The meal had great potential but ultimately fell short.
27,Hakka Noodles,Cheesy,but it missed the mark.
61,Kadai Paneer,Spicy,The dish was well-prepared and the flavors were spot on!
22,Paneer Tikka,Indian Curry,The meal was satisfying
55,Fish Fry,Street Food,The consistency was a bit strange; not what I expected.
28,Spicy Prawn Curry,Healthy,I appreciated the effort put into the dish
58,Kung Pao Chicken,Healthy,The presentation was impressive
37,Cheese Pav Bhaji,Cheesy,I was surprised by how bland the dish turned out to be.
25,Vegetable Biryani,Street Food,Absolutely loved the spices used; it was a delightful experience!
15,Chana Masala,Seafood,The meal was packed with flavor; I can't wait to have it again!
65,Vegan Pulao,Indian Curry,I was left wanting more; it felt incomplete.
62,Dahi Puri,Healthy,I was left wanting more; it felt incomplete.
59,Dahi Puri,Vegan,The consistency was a bit strange; not what I expected.
12,Spring Rolls,Healthy,I was thrilled with how flavorful it was; a real treat!
47,Mutton Rogan Josh,Street Food,I was left wanting more; it felt incomplete.
60,Mutton Rogan Josh,Seafood,The service was excellent
22,Pakoras,Vegan,It was okay
49,Kachori,Indian Curry,It was okay
38,Rasgulla,Snacks,The dish was average; I expected more based on the hype.
33,Sweet and Sour Chicken,Healthy,The ingredients felt fresh
10,Paneer Butter Masala,Healthy,I appreciated the effort put into the dish
23,Kuchcha Aam Ki Barfi,Cheesy,but I expected more based on the reviews.
50,Sev Puri,Spicy,The service was excellent
36,Hot and Sour Soup,Snacks,but I wouldn't order it again.
35,Pani Puri,Spicy,I found it to be too oily for my liking.
20,Chili Chicken,Seafood,It was fine
56,Paneer Tikka,Street Food,The dish was well-prepared and the flavors were spot on!
12,Dhokla,Spicy,I was thrilled with how flavorful it was; a real treat!
33,Kadai Paneer,Chinese,The texture was perfect
30,Baingan Bharta,Indian Curry,making it a good value.
50,Pani Puri,Chinese,I was thrilled with how flavorful it was; a real treat!
29,Aloo Tikki,Snacks,The texture was perfect
14,Paneer Tikka,Cheesy,but it missed the mark.
44,Paneer Butter Masala,Snacks,I found it to be too oily for my liking.
53,Vegetable Chow Mein,Chinese,The portion size was generous
42,Chana Masala,Cheesy,though not memorable.
21,Bhindi Masala,Snacks,The presentation was impressive
19,Chaat,Vegan,The consistency was a bit strange; not what I expected.
45,Kheer,Street Food,but it missed the mark.
50,Mac and Cheese,Spicy,a satisfying meal that I would recommend.
39,Pav Bhaji,Snacks,The service was excellent
38,Cheese Samosa,Dessert,I was not a fan of the seasoning; it felt a bit off.
68,Cheese Dosa,Dessert,The food was decent
11,Kuchcha Aam Ki Barfi,Dessert,but the food was just average.
28,Samosa,Seafood,The meal was packed with flavor; I can't wait to have it again!
19,Vegan Pulao,Cheesy,but I feel there are better options available.
37,Mixed Vegetable Stir Fry,Snacks,The ingredients felt fresh
34,Cheese Dosa,Dessert,The food was decent
20,Oats Upma,Snacks,but I expected more based on the reviews.
70,Vegetable Biryani,Seafood,The ingredients felt fresh
38,Tandoori Chicken,Snacks,but it missed the mark.
59,Tandoori Cauliflower,Dessert,The portion size was generous
57,Mac and Cheese,Vegan,The meal had great potential but ultimately fell short.
15,Ladoo,Cheesy,but the seasoning could improve.
23,Masala Dosa,Indian Curry,The dish was well-prepared and the flavors were spot on!
70,Stuffed Capsicum,Cheesy,The dish was well-prepared and the flavors were spot on!
31,Cheese Naan,Spicy,The food was decent
51,Pork Ribs,Street Food,making it a good value.
27,Jalebi,Snacks,but I wouldn't order it again.
23,Gulab Jamun,Snacks,but the food was just average.
15,Dhokla,Indian Curry,but I expected more based on the reviews.
45,Mac and Cheese,Chinese,The meal was packed with flavor; I can't wait to have it again!
66,Kheer,Indian Curry,The flavors were unique
27,Mutton Rogan Josh,Chinese,Absolutely loved the spices used; it was a delightful experience!
14,Spring Rolls,Snacks,but it missed the mark.
35,Pav Bhaji,Cheesy,The ingredients felt fresh
26,Dhokla,Snacks,The service was excellent
33,Chicken Vindaloo,Vegan,but I think it could use a bit more spice.
21,Malabar Fish Curry,Dessert,Overall
55,Fish Curry,Street Food,The dish was average; I expected more based on the hype.
64,Dal Makhani,Healthy,but I expected more based on the reviews.
59,Kung Pao Chicken,Spicy,The meal had great potential but ultimately fell short.
65,Sev,Cheesy,The dish was well-prepared and the flavors were spot on!
26,Spicy Szechuan Noodles,Seafood,and the taste lived up to expectations.
55,Chana Masala,Spicy,though not memorable.
67,Goan Prawn Curry,Chinese,The food was decent
33,Mutton Rogan Josh,Healthy,but the food was just average.
45,Bhel Puri,Indian Curry,but I wouldn't order it again.
10,Mixed Vegetable Stir Fry,Cheesy,The consistency was a bit strange; not what I expected.
18,Sev Puri,Cheesy,but the food was just average.
12,Kheer,Indian Curry,but I think it could use a bit more spice.
28,Fish Tikka,Spicy,The food was decent
50,Aloo Tikki,Indian Curry,but it missed the mark.
51,Fried Rice,Indian Curry,The portion size was generous
40,Quinoa Pulao,Seafood,It was fine
36,Cheese Naan,Indian Curry,but the food was just average.
10,Cheesy Garlic Bread,Indian Curry,but I wouldn't order it again.
19,Stuffed Capsicum,Spicy,The consistency was a bit strange; not what I expected.
47,Kuchcha Aam Ki Barfi,Cheesy,I appreciated the effort put into the dish
50,Chana Masala,Chinese,but the seasoning could improve.
62,Prawn Biryani,Vegan,The consistency was a bit strange; not what I expected.
35,Ladoo,Street Food,It was just alright; I wouldn't go out of my way to have it again.
14,Chili Chicken,Cheesy,but I expected more based on the reviews.
22,Peda,Indian Curry,but it missed the mark.
40,Chaat,Vegan,but it missed the mark.
55,Cheese Naan,Indian Curry,The overall experience was pleasant
10,Kachori,Spicy,I found it to be too oily for my liking.
30,Crab Masala,Indian Curry,The service was excellent
45,Pani Puri,Spicy,but I wouldn't order it again.
59,Pakoras,Spicy,Overall
13,Paneer Tikka Masala,Healthy,but the food was just average.
16,Cheese Samosa,Cheesy,The dish was well-prepared and the flavors were spot on!
58,Dal Makhani,Healthy,The dish was well-prepared and the flavors were spot on!
22,Palak Chaat,Street Food,The aroma was inviting
58,Spicy Szechuan Noodles,Street Food,and the taste lived up to expectations.
17,Sev,Cheesy,The meal was satisfying
36,Bombil Fry,Dessert,and the taste lived up to expectations.
42,Aloo Tikki Chaat,Seafood,making it a memorable dish.
60,Spring Rolls,Vegan,The dish was well-prepared and the flavors were spot on!
26,Dal Makhani,Indian Curry,I found it to be too oily for my liking.
10,Aloo Gobi,Seafood,though not memorable.
57,Goan Prawn Curry,Healthy,The meal had great potential but ultimately fell short.
60,Vegan Pulao,Cheesy,but the food was just average.
14,Fish Fry,Cheesy,making it a memorable dish.
43,Fish Curry,Dessert,It was okay
67,Fish Tikka,Indian Curry,making it a good value.
23,Sev Puri,Cheesy,It was just alright; I wouldn't go out of my way to have it again.
45,Pav Bhaji,Dessert,It was just alright; I wouldn't go out of my way to have it again.
42,Kachori,Vegan,I enjoyed the freshness of the ingredients; it made a difference.
69,Mixed Vegetable Stir Fry,Healthy,Overall
12,Pani Puri,Vegan,I found the meal to be quite average; nothing particularly stood out.
12,Sprouted Moong Salad,Snacks,and every bite was a joy!
64,Oats Upma,Vegan,The presentation was impressive
21,Kadai Paneer,Indian Curry,I found the meal to be quite average; nothing particularly stood out.
27,Spring Rolls,Snacks,and the taste did not disappoint.
41,Tandoori Chicken,Vegan,The ingredients felt fresh
61,Kadai Paneer,Cheesy,The flavors were unique
59,Salad,Spicy,making it a memorable dish.
66,Paneer Tikka Masala,Indian Curry,The overall experience was pleasant
20,Vegetable Chow Mein,Healthy,The ingredients felt fresh
67,Oats Upma,Seafood,making it a memorable dish.
64,Spring Rolls,Snacks,and the taste did not disappoint.
