"age","food_item","meal_category","region"
"47","Chicken Curry","Seafood","Maharashtra"
"20","Aloo Tikki","Seafood","Delhi"
"32","Chicken Curry","Chinese","Tamil Nadu"
"67","Cheesy Garlic Bread","Seafood","Maharashtra"
"20","Jalebi","Snacks","Karnataka"
"10","Spicy Prawn Curry","Chinese","Uttar Pradesh"
"28","Murukku","Dessert","Punjab"
"26","Fish Tikka","Snacks","Rajasthan"
"39","Chicken Vindaloo","Snacks","Karnataka"
"69","Kheer","Dessert","Delhi"
"31","Kheer","Healthy","Punjab"
"67","Grilled Paneer","Spicy","Uttar Pradesh"
"38","Vegetable Soup","Healthy","Maharashtra"
"69","Dahi Puri","Snacks","Tamil Nadu"
"54","Rabri","Vegan","Gujarat"
"51","Sev Puri","Seafood","Maharashtra"
"57","Chili Chicken","Dessert","Rajasthan"
"70","Ghar Ka Khana","Spicy","Rajasthan"
"40","Pani Puri","Street Food","Delhi"
"33","Prawn Masala","Indian Curry","Karnataka"
"13","Stuffed Capsicum","Dessert","Karnataka"
"60","Manchurian","Seafood","Punjab"
"47","Rajma","Seafood","Tamil Nadu"
"52","Crab Masala","Vegan","Kerala"
"70","Palak Paneer","Indian Curry","Karnataka"
"16","Spring Rolls","Healthy","Karnataka"
"30","Cheese Pav Bhaji","Cheesy","Rajasthan"
"55","Chaat","Dessert","Rajasthan"
"69","Rasgulla","Street Food","Maharashtra"
"48","Chicken Vindaloo","Cheesy","Gujarat"
"47","Vegetable Soup","Dessert","Kerala"
"14","Murukku","Street Food","Karnataka"
"50","Methi Paratha","Street Food","Delhi"
"52","Grilled Paneer","Vegan","West Bengal"
"44","Gulab Jamun","Snacks","Punjab"
"65","Kheer","Snacks","Tamil Nadu"
"43","Cheese Samosa","Chinese","Kerala"
"50","Aloo Tikki Chaat","Vegan","Maharashtra"
"53","Crab Masala","Street Food","Gujarat"
"18","Gulab Jamun","Indian Curry","Uttar Pradesh"
"12","Stuffed Capsicum","Snacks","Maharashtra"
"39","Gulab Jamun","Chinese","Punjab"
"16","Cheesy Garlic Bread","Vegan","West Bengal"
"13","Gulab Jamun","Street Food","Punjab"
"26","Manchurian","Indian Curry","Maharashtra"
"55","Chili Chicken","Spicy","West Bengal"
"52","Spicy Prawn Curry","Street Food","Gujarat"
"25","Sev Puri","Healthy","Tamil Nadu"
"57","Cheese Dosa","Cheesy","Karnataka"
"55","Paneer Butter Masala","Cheesy","Kerala"
"47","Jalebi","Spicy","Punjab"
"29","Kung Pao Chicken","Street Food","Rajasthan"
"49","Chana Masala","Street Food","Punjab"
"52","Vegan Pulao","Cheesy","Delhi"
"21","Vegetable Chow Mein","Healthy","Rajasthan"
"25","Murukku","Healthy","Karnataka"
"17","Vegetable Chow Mein","Healthy","Kerala"
"30","Murukku","Street Food","Tamil Nadu"
"30","Dahi Puri","Seafood","Tamil Nadu"
"21","Peda","Seafood","Tamil Nadu"
"34","Masala Dosa","Dessert","Punjab"
"31","Ladoo","Healthy","Gujarat"
"44","Cheese Stuffed Mushroom","Healthy","Rajasthan"
"58","Pakoras","Street Food","Uttar Pradesh"
"51","Chaat","Chinese","Maharashtra"
"34","Mutton Rogan Josh","Chinese","Tamil Nadu"
"30","Chicken Vindaloo","Spicy","West Bengal"
"45","Goan Prawn Curry","Seafood","Maharashtra"
"52","Vegan Pulao","Indian Curry","Gujarat"
"11","Pakoras","Chinese","West Bengal"
"53","Gulab Jamun","Seafood","Tamil Nadu"
"58","Salad","Spicy","Gujarat"
"58","Chana Masala","Street Food","Rajasthan"
"40","Fried Rice","Chinese","Punjab"
"52","Kachori","Chinese","Punjab"
"19","Ladoo","Indian Curry","Delhi"
"58","Aloo Gobi","Indian Curry","Rajasthan"
"64","Sprouted Moong Salad","Indian Curry","Kerala"
"57","Vegetable Biryani","Chinese","Rajasthan"
"29","Vada Pav","Seafood","Karnataka"
"27","Fried Rice","Snacks","West Bengal"
"11","Fish Fry","Street Food","West Bengal"
"17","Samosa","Snacks","Tamil Nadu"
"32","Tikki","Snacks","Tamil Nadu"
"19","Pani Puri","Healthy","Kerala"
"30","Methi Paratha","Cheesy","Gujarat"
"25","Barfi","Healthy","Gujarat"
"61","Baingan Bharta","Healthy","Punjab"
"42","Chicken Vindaloo","Dessert","Gujarat"
"32","Chili Chicken","Snacks","Uttar Pradesh"
"30","Pani Puri","Cheesy","Tamil Nadu"
"24","Cheese Samosa","Vegan","Tamil Nadu"
"22","Barfi","Healthy","Kerala"
"21","Palak Paneer","Street Food","Uttar Pradesh"
"62","Paneer Tikka","Dessert","Uttar Pradesh"
"32","Spicy Prawn Curry","Vegan","West Bengal"
"57","Kung Pao Chicken","Spicy","Karnataka"
"67","Kachori","Indian Curry","Tamil Nadu"
"49","Tandoori Fish","Seafood","Maharashtra"
"35","Jalebi","Dessert","Gujarat"
"23","Spicy Szechuan Noodles","Street Food","Gujarat"
"53","Dim Sum","Chinese","Uttar Pradesh"
"34","Chaat","Indian Curry","Delhi"
"37","Tikki","Dessert","Rajasthan"
"21","Fish Tikka","Spicy","Karnataka"
"27","Methi Paratha","Street Food","Gujarat"
"10","Pav Bhaji","Chinese","Tamil Nadu"
"46","Sev","Vegan","Gujarat"
"58","Peda","Cheesy","Uttar Pradesh"
"54","Fish Curry","Dessert","Kerala"
"67","Chaat","Street Food","Kerala"
"61","Chaat","Dessert","Tamil Nadu"
"23","Pani Puri","Snacks","Karnataka"
"46","Aloo Gobi","Seafood","West Bengal"
"48","Butter Chicken","Seafood","Gujarat"
"58","Ghar Ka Khana","Cheesy","West Bengal"
"52","Tandoori Chicken","Snacks","Kerala"
"43","Aloo Gobi","Chinese","Maharashtra"
"27","Hot and Sour Soup","Seafood","Maharashtra"
"58","Grilled Paneer","Healthy","Delhi"
"23","Grilled Paneer","Spicy","Uttar Pradesh"
"39","Tandoori Cauliflower","Seafood","Rajasthan"
"22","Manchurian","Vegan","Uttar Pradesh"
"67","Bombil Fry","Healthy","Rajasthan"
"25","Fish Tikka","Chinese","Karnataka"
"38","Spicy Szechuan Noodles","Indian Curry","Rajasthan"
"56","Cheesy Garlic Bread","Street Food","West Bengal"
"67","Malabar Fish Curry","Dessert","Kerala"
"22","Kuchcha Aam Ki Barfi","Street Food","Karnataka"
"13","Vada Pav","Snacks","West Bengal"
"51","Aloo Tikki","Spicy","Delhi"
"24","Sprouted Moong Salad","Chinese","West Bengal"
"69","Paneer Butter Masala","Dessert","Maharashtra"
"39","Vegetable Biryani","Snacks","Punjab"
"63","Chana Masala","Vegan","West Bengal"
"25","Vada Pav","Healthy","West Bengal"
"29","Chaat","Cheesy","Maharashtra"
"50","Mac and Cheese","Seafood","Kerala"
"53","Stuffed Bell Peppers","Dessert","Kerala"
"54","Rajma Chawal","Street Food","West Bengal"
"10","Pork Ribs","Healthy","Karnataka"
"39","Rajma","Dessert","Punjab"
"45","Chili Chicken","Snacks","Rajasthan"
"42","Grilled Paneer","Dessert","Delhi"
"32","Kachori","Seafood","Gujarat"
"70","Pav Bhaji","Chinese","Maharashtra"
"21","Spring Rolls","Snacks","Karnataka"
"24","Grilled Paneer","Snacks","Delhi"
"29","Rajma Chawal","Chinese","Delhi"
"31","Mac and Cheese","Street Food","Karnataka"
"69","Masala Dosa","Indian Curry","Tamil Nadu"
"57","Zucchini Noodles","Vegan","Rajasthan"
"16","Peda","Healthy","Delhi"
"67","Vegan Pulao","Street Food","Punjab"
"34","Kheer","Seafood","Uttar Pradesh"
"39","Pork Ribs","Cheesy","Kerala"
"32","Pakoras","Indian Curry","West Bengal"
"51","Dim Sum","Vegan","Rajasthan"
"59","Samosa","Dessert","Punjab"
"50","Cheesy Garlic Bread","Indian Curry","Delhi"
"70","Rabri","Vegan","Tamil Nadu"
"57","Chili Chicken","Seafood","Delhi"
"33","Aloo Tikki","Healthy","Punjab"
"35","Goan Prawn Curry","Indian Curry","Punjab"
"10","Gajar Halwa","Spicy","Uttar Pradesh"
"39","Pani Puri","Street Food","Karnataka"
"55","Fish Curry","Street Food","West Bengal"
"44","Fish Tikka","Street Food","Uttar Pradesh"
"44","Dahi Puri","Dessert","Delhi"
"44","Cheesy Veggie Wrap","Vegan","West Bengal"
"61","Spring Rolls","Seafood","Punjab"
"56","Aloo Tikki Chaat","Snacks","Uttar Pradesh"
"29","Zucchini Noodles","Chinese","Gujarat"
"55","Cheese Pav Bhaji","Street Food","West Bengal"
"57","Mac and Cheese","Indian Curry","Tamil Nadu"
"54","Spring Rolls","Spicy","Punjab"
"33","Cheese Dosa","Vegan","Delhi"
"27","Vegetable Soup","Healthy","Tamil Nadu"
"51","Cheese Samosa","Chinese","Punjab"
"28","Rabri","Spicy","Punjab"
"53","Hakka Noodles","Indian Curry","Rajasthan"
"46","Mac and Cheese","Snacks","Punjab"
"60","Dal Makhani","Snacks","Punjab"
"22","Dhokla","Spicy","Delhi"
"62","Bhel Puri","Dessert","Tamil Nadu"
"57","Vegetable Soup","Spicy","Gujarat"
"11","Spring Rolls","Street Food","Maharashtra"
"68","Cheese Naan","Spicy","West Bengal"
"15","Pani Puri","Street Food","Delhi"
"68","Chicken Curry","Healthy","Delhi"
"64","Crab Masala","Chinese","West Bengal"
"65","Palak Paneer","Indian Curry","Tamil Nadu"
"65","Cheese Dosa","Seafood","Maharashtra"
"38","Chili Chicken","Indian Curry","Kerala"
"57","Samosa","Cheesy","Karnataka"
"19","Zucchini Noodles","Seafood","Uttar Pradesh"
"29","Masala Dosa","Chinese","Gujarat"
"38","Masala Dosa","Chinese","West Bengal"
"63","Chana Masala","Snacks","Kerala"
"18","Hakka Noodles","Snacks","Uttar Pradesh"
"49","Paneer Butter Masala","Seafood","West Bengal"
"50","Chaat","Spicy","Tamil Nadu"
"22","Dim Sum","Vegan","Kerala"
"44","Chicken Curry","Healthy","Maharashtra"
"17","Fish Fry","Dessert","West Bengal"
"21","Cheesy Garlic Bread","Indian Curry","Maharashtra"
"54","Cheesy Veggie Wrap","Snacks","Gujarat"
"44","Kheer","Indian Curry","Gujarat"
"65","Methi Paratha","Cheesy","Gujarat"
"24","Chana Masala","Chinese","Uttar Pradesh"
"27","Cheesy Pasta","Snacks","Punjab"
"41","Fish Fry","Cheesy","Karnataka"
"18","Malabar Fish Curry","Healthy","Kerala"
"45","Chicken Curry","Indian Curry","Uttar Pradesh"
"70","Samosa","Street Food","Punjab"
"12","Tikki","Spicy","West Bengal"
"22","Kung Pao Chicken","Cheesy","Karnataka"
"58","Spicy Szechuan Noodles","Chinese","West Bengal"
"12","Aloo Gobi","Seafood","Tamil Nadu"
"21","Paneer Tikka Masala","Chinese","Maharashtra"
"29","Bombil Fry","Seafood","Kerala"
"31","Tandoori Fish","Healthy","Gujarat"
"70","Grilled Paneer","Vegan","Maharashtra"
"68","Murukku","Vegan","West Bengal"
"31","Quinoa Pulao","Indian Curry","Kerala"
"43","Murukku","Seafood","Delhi"
"68","Cheese Stuffed Mushroom","Cheesy","Gujarat"
"11","Kadai Paneer","Indian Curry","West Bengal"
"14","Prawn Masala","Street Food","Karnataka"
"63","Vegetable Chow Mein","Spicy","Maharashtra"
"67","Samosa","Cheesy","Gujarat"
"33","Dal Makhani","Seafood","Karnataka"
"69","Dal Tadka","Street Food","Maharashtra"
"21","Pakoras","Cheesy","Maharashtra"
"40","Chili Chicken","Spicy","Maharashtra"
"29","Pav Bhaji","Indian Curry","Punjab"
"23","Spring Rolls","Spicy","Karnataka"
"47","Mutton Rogan Josh","Snacks","Maharashtra"
"54","Chicken Vindaloo","Healthy","Karnataka"
"33","Dal Makhani","Healthy","Rajasthan"
"36","Cheese Pav Bhaji","Snacks","Maharashtra"
"12","Kadai Paneer","Healthy","Tamil Nadu"
"34","Sprouted Moong Salad","Indian Curry","West Bengal"
"45","Hakka Noodles","Cheesy","Delhi"
"40","Ladoo","Snacks","Gujarat"
"40","Mixed Vegetable Stir Fry","Vegan","Karnataka"
"15","Momos","Cheesy","Tamil Nadu"
"45","Stuffed Bell Peppers","Spicy","Punjab"
"11","Cheese Pav Bhaji","Indian Curry","Maharashtra"
"67","Murukku","Indian Curry","Karnataka"
"44","Oats Upma","Spicy","Karnataka"
"56","Fish Curry","Dessert","Karnataka"
"70","Aloo Gobi","Spicy","Rajasthan"
"53","Tandoori Chicken","Indian Curry","Karnataka"
"11","Cheese Dosa","Dessert","Gujarat"
"59","Vegetable Chow Mein","Healthy","Tamil Nadu"
"25","Salad","Dessert","Punjab"
"15","Pani Puri","Indian Curry","Maharashtra"
"48","Cheese Naan","Dessert","Rajasthan"
"30","Spicy Prawn Curry","Spicy","Delhi"
"57","Palak Paneer","Dessert","Tamil Nadu"
"61","Prawn Masala","Seafood","Delhi"
"19","Aloo Gobi","Healthy","West Bengal"
"43","Tandoori Fish","Street Food","Punjab"
"42","Sprouted Moong Salad","Healthy","Kerala"
"53","Spicy Szechuan Noodles","Seafood","Kerala"
"52","Sev Puri","Healthy","Maharashtra"
"41","Butter Chicken","Indian Curry","Punjab"
"51","Pani Puri","Dessert","Uttar Pradesh"
"48","Cheese Samosa","Dessert","Delhi"
"36","Jalebi","Chinese","Karnataka"
"44","Baingan Bharta","Healthy","Maharashtra"
"59","Oats Upma","Indian Curry","Karnataka"
"31","Fish Curry","Vegan","Rajasthan"
"65","Methi Paratha","Snacks","West Bengal"
"24","Cheese Stuffed Mushroom","Dessert","Tamil Nadu"
"70","Rasgulla","Indian Curry","Maharashtra"
"17","Chili Chicken","Vegan","Maharashtra"
"41","Tandoori Fish","Street Food","Rajasthan"
"53","Aloo Gobi","Street Food","Gujarat"
"56","Dal Makhani","Street Food","Punjab"
"57","Spring Rolls","Cheesy","Uttar Pradesh"
"10","Gulab Jamun","Cheesy","Delhi"
"33","Barfi","Dessert","Delhi"
"48","Sev Puri","Healthy","West Bengal"
"49","Rasgulla","Vegan","Punjab"
"62","Chaat","Street Food","West Bengal"
"18","Paneer Butter Masala","Snacks","Rajasthan"
"66","Goan Prawn Curry","Street Food","Delhi"
"19","Cheesy Garlic Bread","Dessert","Uttar Pradesh"
"46","Bhel Puri","Vegan","Gujarat"
"27","Dim Sum","Street Food","Tamil Nadu"
"10","Aloo Gobi","Spicy","Rajasthan"
"59","Chana Masala","Indian Curry","Rajasthan"
"13","Manchurian","Street Food","Delhi"
"27","Cheese Naan","Healthy","Delhi"
"13","Samosa","Spicy","Delhi"
"17","Chicken Curry","Dessert","Tamil Nadu"
"69","Mixed Vegetable Stir Fry","Vegan","Gujarat"
"56","Momos","Dessert","Rajasthan"
"46","Vada Pav","Chinese","Punjab"
"24","Spicy Prawn Curry","Indian Curry","West Bengal"
"38","Momos","Spicy","Maharashtra"
"65","Fish Tikka","Vegan","Uttar Pradesh"
"41","Vegetable Soup","Vegan","Kerala"
"31","Vada Pav","Street Food","West Bengal"
"55","Fish Tikka","Healthy","Punjab"
"35","Baingan Bharta","Spicy","Punjab"
"57","Murukku","Street Food","Gujarat"
"25","Paneer Tikka Masala","Chinese","Maharashtra"
"62","Vegetable Biryani","Spicy","Kerala"
"57","Cheesy Garlic Bread","Snacks","Karnataka"
"23","Spicy Szechuan Noodles","Spicy","Delhi"
"65","Palak Chaat","Cheesy","Tamil Nadu"
"25","Cheese Stuffed Mushroom","Healthy","Kerala"
"45","Prawn Biryani","Dessert","West Bengal"
"38","Malabar Fish Curry","Snacks","Delhi"
"70","Cheese Stuffed Mushroom","Seafood","Tamil Nadu"
"23","Kachori","Healthy","Kerala"
"40","Chana Masala","Spicy","West Bengal"
"50","Chana Masala","Street Food","Rajasthan"
"27","Prawn Masala","Cheesy","Rajasthan"
"55","Gajar Halwa","Spicy","Rajasthan"
"69","Stuffed Bell Peppers","Seafood","Tamil Nadu"
"70","Gulab Jamun","Snacks","Punjab"
"54","Dahi Puri","Street Food","Karnataka"
"27","Vegetable Soup","Street Food","Punjab"
"48","Fish Tikka","Chinese","Delhi"
"33","Sev","Snacks","Delhi"
"38","Tandoori Chicken","Vegan","West Bengal"
"46","Kachori","Cheesy","Maharashtra"
"66","Aloo Gobi","Healthy","Gujarat"
"14","Rajma Chawal","Indian Curry","Uttar Pradesh"
"28","Rajma Chawal","Cheesy","Rajasthan"
"46","Kadai Paneer","Chinese","Rajasthan"
"19","Fish Curry","Chinese","Kerala"
"36","Stuffed Bell Peppers","Chinese","Karnataka"
"10","Chicken Vindaloo","Seafood","Rajasthan"
"15","Rajma Chawal","Cheesy","West Bengal"
"70","Methi Paratha","Dessert","Maharashtra"
"47","Murukku","Indian Curry","Tamil Nadu"
"24","Kachori","Vegan","Rajasthan"
"47","Hakka Noodles","Snacks","Uttar Pradesh"
"51","Quinoa Pulao","Indian Curry","Karnataka"
"53","Spicy Szechuan Noodles","Cheesy","Delhi"
"30","Peda","Chinese","Rajasthan"
"39","Kuchcha Aam Ki Barfi","Vegan","West Bengal"
"55","Kachori","Vegan","Gujarat"
"67","Mac and Cheese","Street Food","Gujarat"
"40","Ladoo","Seafood","Punjab"
"45","Gulab Jamun","Indian Curry","Kerala"
"65","Bombil Fry","Snacks","Karnataka"
"26","Ghar Ka Khana","Dessert","Punjab"
"23","Pork Ribs","Street Food","Punjab"
"49","Grilled Paneer","Seafood","West Bengal"
"56","Sweet and Sour Chicken","Seafood","Punjab"
"13","Grilled Paneer","Spicy","West Bengal"
"15","Palak Paneer","Spicy","Punjab"
"26","Cheesy Pasta","Healthy","Delhi"
"44","Gajar Halwa","Indian Curry","Uttar Pradesh"
"43","Pakoras","Spicy","Rajasthan"
"37","Rabri","Dessert","West Bengal"
"69","Vegetable Soup","Dessert","Tamil Nadu"
"13","Masala Dosa","Street Food","West Bengal"
"46","Prawn Biryani","Healthy","Gujarat"
"11","Spicy Prawn Curry","Street Food","Karnataka"
"26","Kheer","Dessert","Delhi"
"54","Bombil Fry","Cheesy","Karnataka"
"23","Chana Masala","Vegan","Uttar Pradesh"
"54","Salad","Chinese","Uttar Pradesh"
"63","Kachori","Indian Curry","Delhi"
"65","Stuffed Capsicum","Seafood","West Bengal"
"49","Spicy Szechuan Noodles","Cheesy","Delhi"
"32","Hot and Sour Soup","Snacks","West Bengal"
"28","Baingan Bharta","Chinese","Karnataka"
"65","Spring Rolls","Healthy","Gujarat"
"66","Methi Paratha","Spicy","Gujarat"
"49","Prawn Biryani","Healthy","Gujarat"
"27","Cheese Samosa","Indian Curry","Uttar Pradesh"
"56","Spring Rolls","Spicy","Karnataka"
"19","Salad","Seafood","Uttar Pradesh"
"10","Kung Pao Chicken","Spicy","Karnataka"
"25","Bhel Puri","Snacks","Rajasthan"
"23","Fish Curry","Dessert","Punjab"
"29","Gulab Jamun","Chinese","West Bengal"
"25","Goan Prawn Curry","Street Food","Kerala"
"36","Prawn Biryani","Seafood","Uttar Pradesh"
"29","Sweet and Sour Chicken","Chinese","Tamil Nadu"
"35","Stuffed Capsicum","Vegan","Karnataka"
"52","Jalebi","Indian Curry","Rajasthan"
"41","Chicken Vindaloo","Vegan","Uttar Pradesh"
"48","Fish Tikka","Seafood","Tamil Nadu"
"37","Vegetable Soup","Spicy","Gujarat"
"25","Kung Pao Chicken","Cheesy","Kerala"
"50","Chili Chicken","Street Food","Delhi"
"56","Dal Makhani","Spicy","West Bengal"
"49","Prawn Biryani","Seafood","Karnataka"
"42","Malabar Fish Curry","Snacks","West Bengal"
"36","Mac and Cheese","Dessert","Delhi"
"48","Gulab Jamun","Healthy","Tamil Nadu"
